entity,precision,recall,f1_score,support
ADMISSION_PROCESS,1.0000,1.0000,1.0000,10
AFFILIATION,0.7619,0.6957,0.7273,23
APPLICATION_DEADLINE,1.0000,1.0000,1.0000,1
COLLEGE_NAME,0.9570,0.9674,0.9622,92
COLLEGE_TYPE,0.8824,0.9677,0.9231,31
CONTACT_INFO,1.0000,1.0000,1.0000,3
CUTOFF_RANK,0.0000,0.0000,0.0000,0
DEPARTMENT,1.0000,0.9600,0.9796,25
FACILITY,0.9444,0.9444,0.9444,18
FEE,1.0000,0.9429,0.9706,35
HOSTEL_AVAILABILITY,1.0000,1.0000,1.0000,3
LOCATION,0.9605,0.9481,0.9542,77
PROGRAM,0.9125,0.8488,0.8795,86
RATING,1.0000,1.0000,1.0000,7
RECOMMEND,1.0000,1.0000,1.0000,13
SCHOLARSHIP,0.9091,1.0000,0.9524,10
SEATS,1.0000,1.0000,1.0000,7
college_type,0.3333,0.5000,0.4000,2
comparison_criteria,0.7500,1.0000,0.8571,3
constraint,1.0000,0.7143,0.8333,7
domain,0.9000,1.0000,0.9474,18
field_of_study,0.8056,0.9062,0.8529,32
interest,0.0000,0.0000,0.0000,3
item_1,0.8571,1.0000,0.9231,6
item_2,0.8000,1.0000,0.8889,4
location,0.9524,0.9091,0.9302,22
reference_item,1.0000,0.5000,0.6667,2
user_gpa,1.0000,1.0000,1.0000,6
