intent,precision,recall,f1_score,support
Admission_process,0.8596,0.9245,0.8909,53.0
Affirmation,0.8571,0.8571,0.8571,7.0
Clarification,0.4545,0.7143,0.5556,7.0
GET_COLLEGE_INFO,0.8125,0.8239,0.8182,142.0
GET_fee_info,0.8630,0.9265,0.8936,68.0
GET_program_info,0.9524,0.9836,0.9677,61.0
Get_admission_info,0.8696,0.7407,0.8000,27.0
Get_college_location,0.9091,0.8333,0.8696,24.0
Get_contact_info,1.0000,0.8387,0.9123,31.0
Get_hostel_availability_info,0.9459,0.8750,0.9091,40.0
Get_pass_percentage_info,0.7500,0.6923,0.7200,13.0
Get_scholorship_info,0.9200,0.9787,0.9485,47.0
Goodbye,1.0000,0.2500,0.4000,4.0
Greeting,0.8235,0.8750,0.8485,16.0
Negation,0.5833,1.0000,0.7368,7.0
Recommend_college,0.8400,0.6176,0.7119,34.0
Search_college_by_fee,0.6923,0.4737,0.5625,19.0
Search_college_by_location,0.9318,0.9647,0.9480,85.0
Search_college_by_program,0.9216,0.9038,0.9126,52.0
Search_college_by_seats,0.8947,0.8500,0.8718,20.0
Search_college_by_type,0.8140,0.9459,0.8750,37.0
Thank_you,0.6000,0.5000,0.5455,6.0
Unknown,0.2500,0.1429,0.1818,7.0
best_items_search,0.7619,0.8889,0.8205,18.0
compare_items,1.0000,1.0000,1.0000,18.0
explore_options,0.9474,1.0000,0.9730,18.0
find_similar_items,0.9474,1.0000,0.9730,18.0
personalized_recommendation,1.0000,1.0000,1.0000,18.0
recommend_items,0.9474,1.0000,0.9730,18.0
recommend_with_constraints,1.0000,0.8889,0.9412,18.0
macro avg,0.8383,0.8163,0.8139,933.0
weighted avg,0.8750,0.8735,0.8703,933.0
