Entity_Label,Precision,Recall,F1-Score,Support
O,0.9974736216376876,0.9988095238095238,0.9981411257342553,6720
B-AFFILIATION,1.0,1.0,1.0,10
B-APPLICATION_DEADLINE,0.0,0.0,0.0,5
B-COLLEGE_NAME,0.9416666666666667,0.9262295081967213,0.9338842975206612,122
B-COLLEGE_TYPE,1.0,0.9333333333333333,0.9655172413793104,15
B-CONTACT_INFO,0.0,0.0,0.0,2
B-DEPARTMENT,0.0,0.0,0.0,2
B-FACILITY,1.0,0.6,0.75,5
B-FEE,1.0,1.0,1.0,8
B-LOCATION,0.8666666666666667,1.0,0.9285714285714286,52
B-PROGRAM,0.9493670886075949,0.9868421052631579,0.967741935483871,76
B-RATING,1.0,0.7727272727272727,0.8717948717948718,22
B-RECOMMEND,0.0,0.0,0.0,1
