epoch,train_loss,val_loss,precision,recall,f1_score,accuracy
1,24.606493,5.784685,0.5711,0.5844,0.5777,0.8892
2,3.884199,1.657079,0.8972,0.9065,0.9018,0.9757
3,1.571483,1.211441,0.9459,0.9532,0.9495,0.9854
4,0.985574,0.931635,0.9661,0.9610,0.9635,0.9886
5,0.745581,0.833367,0.9657,0.9506,0.9581,0.9866
6,0.618346,0.650833,0.9542,0.9740,0.9640,0.9903
7,0.437122,0.821229,0.9683,0.9532,0.9607,0.9890
8,0.402407,0.573200,0.9641,0.9766,0.9703,0.9927
9,0.322479,0.533832,0.9664,0.9714,0.9689,0.9919
10,0.243247,0.825979,0.9713,0.9662,0.9688,0.9899
11,0.204072,0.795738,0.9668,0.9844,0.9755,0.9923
12,0.153300,0.944366,0.9740,0.9740,0.9740,0.9919
13,0.147610,0.858569,0.9792,0.9792,0.9792,0.9927
14,0.121913,0.931925,0.9716,0.9766,0.9741,0.9911
15,0.096618,0.972050,0.9792,0.9766,0.9779,0.9923
