intent,precision,recall,f1_score,support
admission_process,1.0000,0.9565,0.9778,23.0
best_items_search,1.0000,1.0000,1.0000,22.0
college_attribute_query,0.8636,0.8261,0.8444,23.0
college_details,0.7917,0.8636,0.8261,22.0
compare_colleges,1.0000,1.0000,1.0000,22.0
contact_query,1.0000,1.0000,1.0000,22.0
goodbye,1.0000,1.0000,1.0000,23.0
greeting,1.0000,1.0000,1.0000,22.0
hostel_query,1.0000,1.0000,1.0000,23.0
personalized_recommendation,1.0000,1.0000,1.0000,19.0
recommend_with_constraints,1.0000,1.0000,1.0000,20.0
search_college,1.0000,1.0000,1.0000,22.0
macro avg,0.9713,0.9705,0.9707,263.0
weighted avg,0.9706,0.9696,0.9699,263.0
